product_category_name_english,Total_Orders,Late_Orders,Avg_Review,Late_Percentage
agro_industry_and_commerce,206,9,4.087378640776699,4.37
air_conditioning,289,11,4.052816901408451,3.81
art,197,15,4.082051282051282,7.61
arts_and_craftmanship,24,2,4.125,8.33
audio,362,46,3.8379888268156424,12.71
auto,4139,343,4.1149341142020495,8.29
baby,2982,262,4.078066914498141,8.79
bed_bath_table,10953,920,3.923922075523959,8.4
books_general_interest,536,35,4.511278195488722,6.53
books_imported,57,2,4.508771929824562,3.51
books_technical,263,29,4.3893129770992365,11.03
cds_dvds_musicals,14,0,4.642857142857143,0.0
christmas_supplies,150,18,4.06993006993007,12.0
cine_photo,70,5,4.285714285714286,7.14
computers,199,13,4.219387755102041,6.53
computers_accessories,7643,594,3.9872485868279215,7.77
consoles_games,1089,85,4.139017608897127,7.81
construction_tools_construction,916,74,4.091108671789242,8.08
construction_tools_lights,301,30,4.082191780821918,9.97
construction_tools_safety,183,10,3.967032967032967,5.46
cool_stuff,3718,251,4.195445920303605,6.75
costruction_tools_garden,232,17,4.116379310344827,7.33
costruction_tools_tools,103,6,4.444444444444445,5.83
diapers_and_hygiene,37,1,3.3783783783783785,2.7
drinks,361,20,4.119113573407202,5.54
dvds_blu_ray,61,4,4.180327868852459,6.56
electronics,2729,266,4.067158671586716,9.75
fashio_female_clothing,45,3,3.933333333333333,6.67
fashion_bags_accessories,1986,124,4.192813765182186,6.24
fashion_childrens_clothes,7,0,5.0,0.0
fashion_male_clothing,125,7,3.7580645161290325,5.6
fashion_shoes,257,15,4.280632411067193,5.84
fashion_sport,29,2,4.344827586206897,6.9
fashion_underwear_beach,127,16,4.0476190476190474,12.6
fixed_telephony,255,11,3.757936507936508,4.31
flowers,33,1,4.419354838709677,3.03
food,499,49,4.262833675564682,9.82
food_drink,269,17,4.364312267657993,6.32
furniture_bedroom,103,8,4.252427184466019,7.77
furniture_decor,8160,688,3.9532178217821783,8.43
furniture_living_room,495,39,3.9346938775510205,7.88
furniture_mattress_and_upholstery,37,5,3.891891891891892,13.51
garden_tools,4268,340,4.084198113207547,7.97
health_beauty,9467,858,4.18949383241174,9.06
home_appliances,754,51,4.218375499334221,6.76
home_appliances_2,231,16,4.156521739130435,6.93
home_comfort_2,30,5,3.6296296296296298,16.67
home_confort,429,44,3.8524590163934427,10.26
home_construction,596,49,3.95777027027027,8.22
housewares,6795,441,4.106275902901125,6.49
industry_commerce_and_business,264,20,4.1226053639846745,7.58
kitchen_dining_laundry_garden_furniture,274,12,4.033088235294118,4.38
la_cuisine,14,0,4.0,0.0
luggage_accessories,1077,58,4.352283317800559,5.39
market_place,305,13,4.072607260726072,4.26
music,38,3,4.2105263157894735,7.89
musical_instruments,651,56,4.221705426356589,8.6
office_furniture,1668,149,3.516324062877872,8.93
party_supplies,42,2,3.8333333333333335,4.76
perfumery,3342,245,4.219453617532273,7.33
pet_shop,1924,118,4.216710182767624,6.13
security_and_services,2,0,2.5,0.0
signaling_and_security,197,11,4.091836734693878,5.58
small_appliances,658,39,4.223583460949464,5.93
small_appliances_home_oven_and_coffee,73,5,4.438356164383562,6.85
sports_leisure,8431,625,4.164836476486035,7.41
stationery,2466,198,4.246430028559772,8.03
tablets_printing_image,83,6,4.1234567901234565,7.23
telephony,4430,369,3.9943233424159854,8.33
toys,4030,299,4.207301825456364,7.42
watches_gifts,5857,485,4.071391708240151,8.28
