Delivery_Delay_Days,review_score
-147,5.0
-140,5.0
-135,3.0
-124,5.0
-109,5.0
-84,5.0
-83,5.0
-78,5.0
-77,5.0
-76,5.0
-75,4.5
-73,5.0
-71,4.5
-69,3.6666666666666665
-68,5.0
-67,5.0
-66,5.0
-65,5.0
-64,5.0
-63,5.0
-62,4.5
-61,4.333333333333333
-60,3.0
-59,5.0
-58,4.5
-57,4.5
-56,4.2727272727272725
-55,4.714285714285714
-54,4.875
-53,4.4
-52,4.066666666666666
-51,4.0
-50,4.0
-49,4.2727272727272725
-48,4.161290322580645
-47,3.92
-46,4.3
-45,4.212121212121212
-44,4.275
-43,4.5
-42,4.097560975609756
-41,4.077922077922078
-40,4.328125
-39,4.379310344827586
-38,4.315789473684211
-37,3.9347826086956523
-36,4.303571428571429
-35,4.2896825396825395
-34,4.211382113821138
-33,4.325581395348837
-32,4.231884057971015
-31,4.241721854304636
-30,4.274666666666667
-29,4.249488752556237
-28,4.301204819277109
-27,4.227722772277228
-26,4.277777777777778
-25,4.266519823788546
-24,4.3107344632768365
-23,4.270766773162939
-22,4.341317365269461
-21,4.313235818765608
-20,4.367921329264157
-19,4.358707760861493
-18,4.330872913992298
-17,4.335686966754928
-16,4.3335905349794235
-15,4.347687100413689
-14,4.328631875881523
-13,4.33817077286534
-12,4.310870525850641
-11,4.301829268292683
-10,4.332178432221741
-9,4.291793313069909
-8,4.255625
-7,4.25607476635514
-6,4.24646128226478
-5,4.194746376811594
-4,4.1460851287440885
-3,4.121865889212828
-2,4.123376623376624
-1,4.1579310344827585
0,4.03359375
1,3.731707317073171
2,3.1791044776119404
3,2.683467741935484
4,2.4977064220183487
5,2.1889400921658986
6,1.8108108108108107
7,1.910828025477707
8,1.709090909090909
9,1.6666666666666667
10,1.5797101449275361
11,1.728813559322034
12,1.6730769230769231
13,1.7301587301587302
14,1.5917159763313609
15,1.7032258064516128
16,1.6595744680851063
17,1.6741573033707866
18,1.726027397260274
19,1.5135135135135136
20,1.627906976744186
21,1.6710526315789473
22,1.71875
23,1.4705882352941178
24,1.5384615384615385
25,1.6153846153846154
26,1.3636363636363635
27,1.525
28,1.608695652173913
29,1.3243243243243243
30,1.2857142857142858
31,1.3846153846153846
32,1.5
33,1.65
34,1.8
35,1.5833333333333333
36,1.2
37,1.8888888888888888
38,2.3
39,1.4
40,1.7777777777777777
41,1.7142857142857142
42,2.9
43,1.0
44,2.5
45,2.142857142857143
46,1.2
47,1.5
48,2.142857142857143
49,2.090909090909091
50,2.142857142857143
51,1.0
52,2.6666666666666665
53,1.0
54,3.0
55,3.0
56,2.5
57,1.0
58,5.0
59,5.0
60,3.2
63,1.0
65,1.0
66,1.0
67,4.0
68,2.0
69,5.0
70,3.0
72,1.0
73,1.0
74,1.0
75,4.0
76,1.0
77,3.0
78,4.0
79,1.0
80,4.0
81,4.5
82,4.0
83,5.0
85,1.0
88,1.0
91,1.0
94,2.0
96,3.75
97,5.0
100,4.0
104,2.6
105,4.0
106,5.0
109,3.0
110,1.0
111,5.0
112,2.0
121,4.0
123,1.0
126,4.0
132,3.0
134,4.5
137,3.0
138,4.0
143,1.0
144,5.0
152,1.0
153,4.0
155,4.5
159,3.0
161,4.0
162,3.0
165,1.0
166,1.0
167,1.0
175,1.0
188,2.0
